Date,Open,High,Low,Close,Adj Close,Volume
17-09-2020,60700,60800,59300,59500,54969.70703,25108356
18-09-2020,59800,59900,59100,59300,54784.93359,18884571
21-09-2020,59100,60000,59000,59200,54692.54688,15140387
22-09-2020,59100,59700,57800,58200,53768.6875,20830381
23-09-2020,58400,58800,57400,58600,54138.22656,20111398
24-09-2020,57700,58600,57600,57800,53399.13672,17564020
25-09-2020,57700,58200,57700,57900,53491.53125,11444683
28-09-2020,58300,58800,57900,58200,54099.44922,12614080
29-09-2020,58300,59000,58200,58200,54099.44922,15503563
05-10-2020,57500,59200,57500,58700,54564.22656,20228289
06-10-2020,59400,59900,58700,59000,54843.08203,14463826
07-10-2020,58700,59900,58500,59900,55679.67578,14861838
08-10-2020,60500,60700,59500,59700,55493.76563,24589924
12-10-2020,60000,60400,59900,60400,56144.45313,16145837
13-10-2020,61000,61400,60400,60900,56609.21875,19247631
14-10-2020,61000,61100,60500,60900,56609.21875,16086716
15-10-2020,60700,60800,59700,60000,55772.62891,17756232
16-10-2020,60000,60400,59000,59500,55307.85938,16554190
19-10-2020,59600,60200,59500,60000,55772.62891,14474985
20-10-2020,60300,60900,60100,60900,56609.21875,19326115
21-10-2020,61200,61500,60600,60900,56609.21875,15703443
22-10-2020,60300,60500,59800,60100,55865.58203,14294095
23-10-2020,60400,60400,59800,60200,55958.53906,9322232
26-10-2020,60400,61100,60100,60400,56144.45313,13268226
27-10-2020,60300,60300,59500,59800,55586.72266,17260416
28-10-2020,59400,59400,58800,59000,54843.08203,14428882
29-10-2020,58200,58500,57500,58100,54006.49609,22636966
30-10-2020,58000,58000,56600,56600,52612.17969,26907844
02-11-2020,56400,57500,56000,57400,53355.80859,20489076
03-11-2020,57900,58900,57600,58800,54657.17969,14950919
04-11-2020,58900,59000,57800,58500,54378.3125,21718561
05-11-2020,59000,60300,58800,60300,56051.49219,20639475
06-11-2020,60700,60800,59600,60100,55865.58203,16910230
09-11-2020,60700,60900,60100,60200,55958.53906,15892961
10-11-2020,60500,60500,59500,60200,55958.53906,19073552
11-11-2020,60700,61400,60400,61300,56981.03516,25628510
12-11-2020,61000,61400,60700,61000,56702.17188,19800573
13-11-2020,61300,63200,61000,63200,58747.16797,31508829
16-11-2020,64000,66700,63900,66300,61628.75,36354334
17-11-2020,67000,67000,65600,65700,61071.03125,30204089
18-11-2020,65700,66200,64700,64800,60234.44141,22963790
19-11-2020,64100,64800,63900,64600,60048.53516,16590290
20-11-2020,63900,65200,63900,64700,60141.48828,15068682
23-11-2020,64800,67800,64700,67500,62744.20313,27134398
24-11-2020,67900,69500,67000,67700,62930.10938,32158235
25-11-2020,67900,68300,66500,66600,61907.61719,32447065
26-11-2020,66100,68000,66000,68000,63208.98828,19023323
27-11-2020,68000,68400,67600,68200,63394.88281,14063434
30-11-2020,68400,68600,66700,66700,62000.57031,43811016
01-12-2020,67100,68300,67100,67800,63023.07422,22327173
02-12-2020,68400,69900,68300,69500,64603.29297,29703942
03-12-2020,70100,70500,69300,69700,64789.20703,23677989
04-12-2020,70400,72100,70100,71500,66462.39063,28130533
07-12-2020,72400,73500,71900,72900,67763.75,28490496
08-12-2020,72200,72900,71600,71700,66648.30469,25000338
09-12-2020,72100,73900,72000,73900,68693.28906,24077996
10-12-2020,72700,73800,72500,72900,67763.75,39882928
